"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","name_localizedValue0","usertype","birth year","gender"
304,"2018-01-01 00:36:22","2018-01-01 00:41:26",339,"Avenue D & E 12 St",40.72580614,-73.97422494,341,"Stanton St & Mangin St",40.71782143,-73.97628939,25043,"NYCHA Membership (Renewal)","Subscriber",1999,1
1688,"2018-01-01 00:36:23","2018-01-01 01:04:32",491,"E 24 St & Park Ave S",40.74096374,-73.98602213,317,"E 6 St & Avenue B",40.72453734,-73.98185424,28309,"Join Citi Bike for $14.95/month","Subscriber",1989,1
294,"2018-01-01 00:36:55","2018-01-01 00:41:50",284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,453,"W 22 St & 8 Ave",40.74475148,-73.99915362,15395,"Annual Membership","Subscriber",1950,1
1242,"2018-01-01 00:37:04","2018-01-01 00:57:46",2021,"W 45 St & 8 Ave",40.75929124,-73.98859651,509,"9 Ave & W 22 St",40.7454973,-74.00197139,16798,"24 Hour","Customer",NULL,0
1267,"2018-01-01 00:37:03","2018-01-01 00:58:11",2021,"W 45 St & 8 Ave",40.75929124,-73.98859651,509,"9 Ave & W 22 St",40.7454973,-74.00197139,16071,"24 Hour","Customer",NULL,0
280,"2018-01-01 00:37:24","2018-01-01 00:42:04",296,"Division St & Bowery",40.71413089,-73.9970468,340,"Madison St & Clinton St",40.71269042,-73.98776323,30469,"NYCHA Membership (Renewal)","Subscriber",1965,2
1223,"2018-01-01 00:37:38","2018-01-01 00:58:01",2021,"W 45 St & 8 Ave",40.75929124,-73.98859651,509,"9 Ave & W 22 St",40.7454973,-74.00197139,30152,"24 Hour","Customer",NULL,0
647,"2018-01-01 00:37:54","2018-01-01 00:48:42",128,"MacDougal St & Prince St",40.72710258,-74.00297088,382,"University Pl & E 14 St",40.73492695,-73.99200509,30975,"Join Citi Bike for $14.95/month","Subscriber",1970,2
1145,"2018-01-01 00:38:24","2018-01-01 00:57:30",2021,"W 45 St & 8 Ave",40.75929124,-73.98859651,509,"9 Ave & W 22 St",40.7454973,-74.00197139,28843,"24 Hour","Customer",NULL,0
1272,"2018-01-01 00:39:38","2018-01-01 01:00:50",524,"W 43 St & 6 Ave",40.75527307,-73.98316936,440,"E 45 St & 3 Ave",40.75255434,-73.97282625,28556,"24 Hour","Customer",NULL,0
1017,"2018-01-01 00:39:45","2018-01-01 00:56:42",3047,"Halsey St & Tompkins Ave",40.6823687,-73.944118,3074,"Montrose Ave & Bushwick Ave",40.70767788,-73.94016171,18496,"Annual Membership","Subscriber",1976,1
1288,"2018-01-01 00:39:51","2018-01-01 01:01:20",524,"W 43 St & 6 Ave",40.75527307,-73.98316936,440,"E 45 St & 3 Ave",40.75255434,-73.97282625,15428,"24 Hour","Customer",NULL,0
242,"2018-01-01 00:40:12","2018-01-01 00:44:15",364,"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,244,"Willoughby Ave & Hall St",40.69196035,-73.96536851,15873,"Annual Membership","Subscriber",1967,1
180,"2018-01-01 00:40:59","2018-01-01 00:44:00",3249,"Verona Pl & Fulton St",40.6803560840434,-73.9476791024208,436,"Hancock St & Bedford Ave",40.68216564,-73.95399026,31943,"Annual Membership from Citi Bike App","Subscriber",1991,1
2117,"2018-01-01 00:42:25","2018-01-01 01:17:42",3081,"Graham Ave & Grand St",40.711863,-73.944024,82,"St James Pl & Pearl St",40.71117416,-74.00016545,17209,"Annual Membership","Subscriber",1985,1
443,"2018-01-01 00:42:30","2018-01-01 00:49:54",438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,545,"E 23 St & 1 Ave",40.736502,-73.97809472,32331,"Annual Membership","Subscriber",1970,2
440,"2018-01-01 00:43:30","2018-01-01 00:50:50",537,"Lexington Ave & E 24 St",40.74025878,-73.98409214,237,"E 11 St & 2 Ave",40.73047309,-73.98672378,31893,"CDCU","Subscriber",1979,1
131,"2018-01-01 00:44:15","2018-01-01 00:46:27",3360,"Amsterdam Ave & W 79 St",40.7829391,-73.9786517,3167,"Amsterdam Ave & W 73 St",40.77966809007312,-73.98093044757842,29891,"Annual Membership","Subscriber",1977,1
588,"2018-01-01 00:44:36","2018-01-01 00:54:24",382,"University Pl & E 14 St",40.73492695,-73.99200509,394,"E 9 St & Avenue C",40.72521311,-73.97768752,31309,"Annual Membership","Subscriber",1983,1
1630,"2018-01-01 00:44:50","2018-01-01 01:12:00",393,"E 5 St & Avenue C",40.72299208,-73.97995466,416,"Cumberland St & Lafayette Ave",40.68753406,-73.97265183,32837,"Annual Membership","Subscriber",1985,1
277,"2018-01-01 00:44:57","2018-01-01 00:49:34",3110,"Meserole Ave & Manhattan Ave",40.72708584,-73.95299117,3091,"Frost St & Meeker St",40.71764,-73.94882,20331,"Annual Membership","Subscriber",1981,2
800,"2018-01-01 00:45:03","2018-01-01 00:58:24",3431,"E 35 St & 3 Ave",40.746524,-73.977885,446,"W 24 St & 7 Ave",40.74487634,-73.99529885,31509,"Annual Membership","Subscriber",1986,1
801,"2018-01-01 00:45:04","2018-01-01 00:58:25",3431,"E 35 St & 3 Ave",40.746524,-73.977885,446,"W 24 St & 7 Ave",40.74487634,-73.99529885,27364,"Annual Membership","Subscriber",1985,2
439,"2018-01-01 00:45:22","2018-01-01 00:52:42",529,"W 42 St & 8 Ave",40.7575699,-73.99098507,3259,"9 Ave & W 28 St",40.74937024193277,-73.99923384189606,30395,"Annual Membership","Subscriber",1991,1
322,"2018-01-01 00:46:45","2018-01-01 00:52:07",326,"E 11 St & 1 Ave",40.72953837,-73.98426726,545,"E 23 St & 1 Ave",40.736502,-73.97809472,33415,"Annual Membership","Subscriber",1958,1
1080,"2018-01-01 00:47:21","2018-01-01 01:05:22",386,"Centre St & Worth St",40.71494807,-74.00234482,265,"Stanton St & Chrystie St",40.72229346,-73.99147535,33016,"$25 Off Annual Membership","Subscriber",1954,2
167,"2018-01-01 00:47:26","2018-01-01 00:50:14",3430,"Richardson St & N Henry St",40.71907891179564,-73.94223690032959,3086,"Graham Ave & Conselyea St",40.715143,-73.944507,30043,"Annual Membership","Subscriber",1990,1
464,"2018-01-01 00:48:06","2018-01-01 00:55:50",3107,"Bedford Ave & Nassau Ave",40.72311651,-73.95212324,532,"S 5 Pl & S 4 St",40.710451,-73.960876,30009,"Annual Membership","Subscriber",1982,1
1763,"2018-01-01 00:48:11","2018-01-01 01:17:34",3124,"46 Ave & 5 St",40.74731,-73.95451,282,"Kent Ave & S 11 St",40.707644944175705,-73.96841526031494,26886,"Annual Membership","Subscriber",1986,1
1271,"2018-01-01 00:48:40","2018-01-01 01:09:51",238,"Bank St & Washington St",40.7361967,-74.00859207,461,"E 20 St & 2 Ave",40.73587678,-73.98205027,25852,"Annual Membership","Subscriber",1965,2
807,"2018-01-01 00:48:45","2018-01-01 01:02:12",3137,"5 Ave & E 73 St",40.77282817,-73.96685276,3312,"1 Ave & E 94 St",40.7817212,-73.94594,26073,"Annual Membership","Subscriber",1977,1
792,"2018-01-01 00:48:58","2018-01-01 01:02:11",3137,"5 Ave & E 73 St",40.77282817,-73.96685276,3312,"1 Ave & E 94 St",40.7817212,-73.94594,25975,"Annual Membership","Subscriber",1977,2
981,"2018-01-01 00:49:05","2018-01-01 01:05:27",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,19692,"Join Citi Bike for $14.95/month","Subscriber",1987,1
278,"2018-01-01 00:49:09","2018-01-01 00:53:48",161,"LaGuardia Pl & W 3 St",40.72917025,-73.99810231,439,"E 4 St & 2 Ave",40.7262807,-73.98978041,26001,"Annual Membership","Subscriber",1990,1
153,"2018-01-01 00:50:08","2018-01-01 00:52:41",504,"1 Ave & E 16 St",40.73221853,-73.98165557,487,"E 20 St & FDR Drive",40.73314259,-73.97573881,31013,"Annual Membership","Subscriber",1985,1
202,"2018-01-01 00:50:38","2018-01-01 00:54:00",502,"Henry St & Grand St",40.714215,-73.981346,307,"Canal St & Rutgers St",40.71427487,-73.98990025,32522,"Annual Membership","Subscriber",1982,1
1176,"2018-01-01 00:51:05","2018-01-01 01:10:42",3259,"9 Ave & W 28 St",40.74937024193277,-73.99923384189606,285,"Broadway & E 14 St",40.73454567,-73.99074142,15138,"Annual Membership","Subscriber",1973,1
569,"2018-01-01 00:51:37","2018-01-01 01:01:06",497,"E 17 St & Broadway",40.73704984,-73.99009296,285,"Broadway & E 14 St",40.73454567,-73.99074142,33385,"$25 Off Annual Membership","Subscriber",1979,2
829,"2018-01-01 00:53:11","2018-01-01 01:07:00",3576,"Park Pl & Vanderbilt Ave",40.6767,-73.969024,3047,"Halsey St & Tompkins Ave",40.6823687,-73.944118,28525,"Annual Membership","Subscriber",1976,1
134,"2018-01-01 00:53:14","2018-01-01 00:55:28",3093,"N 6 St & Bedford Ave",40.71745169,-73.95850939,2002,"Wythe Ave & Metropolitan Ave",40.716887,-73.963198,29715,"Annual Membership","Subscriber",1976,1
607,"2018-01-01 00:53:31","2018-01-01 01:03:39",3420,"Douglass St & 3 Ave",40.6802133,-73.98432695,397,"Fulton St & Clermont Ave",40.68415748,-73.96922273,33125,"Annual Membership","Subscriber",1972,1
157,"2018-01-01 00:53:38","2018-01-01 00:56:16",3288,"E 88 St & 1 Ave",40.778301,-73.9488134,3150,"E 85 St & York Ave",40.77536905,-73.94803392,21526,"Annual Membership","Subscriber",1964,1
714,"2018-01-01 00:53:50","2018-01-01 01:05:45",3427,"Lafayette St & Jersey St",40.72430527250332,-73.99600982666016,537,"Lexington Ave & E 24 St",40.74025878,-73.98409214,21659,"Annual Membership","Subscriber",1988,1
1386,"2018-01-01 00:53:53","2018-01-01 01:17:00",3016,"Kent Ave & N 7 St",40.72036775298455,-73.96165072917938,274,"Lafayette Ave & Fort Greene Pl",40.68691865,-73.976682,19293,"Annual Membership from Citi Bike App","Subscriber",1981,2
537,"2018-01-01 00:54:16","2018-01-01 01:03:14",3427,"Lafayette St & Jersey St",40.72430527250332,-73.99600982666016,503,"E 20 St & Park Ave",40.73827428,-73.98751968,26718,"Annual Membership","Subscriber",1988,1
1295,"2018-01-01 00:54:42","2018-01-01 01:16:18",499,"Broadway & W 60 St",40.76915505,-73.98191841,284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,30706,"Annual Membership","Subscriber",1964,1
1299,"2018-01-01 00:54:46","2018-01-01 01:16:25",3016,"Kent Ave & N 7 St",40.72036775298455,-73.96165072917938,274,"Lafayette Ave & Fort Greene Pl",40.68691865,-73.976682,33173,"Annual Membership from Citi Bike App","Subscriber",1982,1
1173,"2018-01-01 00:54:47","2018-01-01 01:14:21",3137,"5 Ave & E 73 St",40.77282817,-73.96685276,3553,"Frederick Douglass Blvd & W 112 St",40.801694,-73.957145,26679,"Annual Membership","Subscriber",1961,1
507,"2018-01-01 00:55:17","2018-01-01 01:03:44",524,"W 43 St & 6 Ave",40.75527307,-73.98316936,480,"W 53 St & 10 Ave",40.76669671,-73.99061728,24919,"$25 Off Annual Membership","Subscriber",1991,1
249,"2018-01-01 00:55:21","2018-01-01 00:59:30",442,"W 27 St & 7 Ave",40.746647,-73.993915,334,"W 20 St & 7 Ave",40.74238787,-73.99726235,20337,"Annual Membership","Subscriber",1958,2
553,"2018-01-01 00:55:55","2018-01-01 01:05:08",3298,"Warren St & Court St",40.686371,-73.99383324,406,"Hicks St & Montague St",40.69512845,-73.99595065,19799,"$25 Off Annual Membership","Subscriber",1975,2
2766,"2018-01-01 00:56:03","2018-01-01 01:42:09",293,"Lafayette St & E 8 St",40.73020660529954,-73.99102628231049,3260,"Mercer St & Bleecker St",40.72706363348306,-73.99662137031554,25518,"Annual Membership","Subscriber",1972,1
355,"2018-01-01 00:56:22","2018-01-01 01:02:17",3165,"Central Park West & W 72 St",40.77579376683666,-73.9762057363987,3168,"Central Park West & W 85 St",40.78472675,-73.96961715,19715,"Annual Membership","Subscriber",1984,1
161,"2018-01-01 00:56:28","2018-01-01 00:59:09",545,"E 23 St & 1 Ave",40.736502,-73.97809472,487,"E 20 St & FDR Drive",40.73314259,-73.97573881,33339,"Annual Membership","Subscriber",1985,1
2744,"2018-01-01 00:56:34","2018-01-01 01:42:18",293,"Lafayette St & E 8 St",40.73020660529954,-73.99102628231049,3260,"Mercer St & Bleecker St",40.72706363348306,-73.99662137031554,18133,"Annual Membership","Subscriber",1967,1
416,"2018-01-01 00:57:36","2018-01-01 01:04:33",315,"South St & Gouverneur Ln",40.70355377,-74.00670227,2009,"Catherine St & Monroe St",40.71117444,-73.99682619,27115,"Annual Membership","Subscriber",1983,2
449,"2018-01-01 00:58:14","2018-01-01 01:05:44",317,"E 6 St & Avenue B",40.72453734,-73.98185424,229,"Great Jones St",40.72743423,-73.99379025,15374,"$25 Off Annual Membership","Subscriber",1994,1
768,"2018-01-01 00:58:17","2018-01-01 01:11:05",448,"W 37 St & 10 Ave",40.75660359,-73.9979009,247,"Perry St & Bleecker St",40.73535398,-74.00483091,25311,"Annual Membership","Subscriber",1985,1
469,"2018-01-01 00:58:39","2018-01-01 01:06:29",3137,"5 Ave & E 73 St",40.77282817,-73.96685276,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,19679,"Annual Membership from Citi Bike App","Subscriber",1990,2
854,"2018-01-01 01:00:26","2018-01-01 01:14:40",3137,"5 Ave & E 73 St",40.77282817,-73.96685276,499,"Broadway & W 60 St",40.76915505,-73.98191841,32059,"Annual Membership","Subscriber",1944,1
226,"2018-01-01 01:01:00","2018-01-01 01:04:47",3168,"Central Park West & W 85 St",40.78472675,-73.96961715,3295,"Central Park W & W 96 St",40.79127,-73.964839,14574,"Annual Membership","Subscriber",1965,1
